l1,l2,l3,bispectro
2,2,2,0.0
7,7,7,0.0
12,12,12,0.0
17,17,17,0.0
22,22,22,0.0
27,27,27,0.0
32,32,32,0.0
37,37,37,0.0
42,42,42,0.0
47,47,47,0.0
52,52,52,0.0
57,57,57,0.0
62,62,62,0.0
67,67,67,0.0
72,72,72,0.0
77,77,77,0.0
82,82,82,0.0
87,87,87,0.0
92,92,92,0.0
97,97,97,0.0
10,10,5,0.0
10,10,10,0.0
10,10,15,0.0
10,10,20,0.0
10,10,25,0.0
20,20,5,0.0
20,20,10,0.0
20,20,15,0.0
20,20,20,0.0
20,20,25,0.0
30,30,5,0.0
30,30,10,0.0
30,30,15,0.0
30,30,20,0.0
30,30,25,0.0
40,40,5,0.0
40,40,10,0.0
40,40,15,0.0
40,40,20,0.0
40,40,25,0.0
50,50,5,0.0
50,50,10,0.0
50,50,15,0.0
50,50,20,0.0
50,50,25,0.0
60,60,5,0.0
60,60,10,0.0
60,60,15,0.0
60,60,20,0.0
60,60,25,0.0
70,70,5,0.0
70,70,10,0.0
70,70,15,0.0
70,70,20,0.0
70,70,25,0.0
80,80,5,0.0
80,80,10,0.0
80,80,15,0.0
80,80,20,0.0
80,80,25,0.0
90,90,5,0.0
90,90,10,0.0
90,90,15,0.0
90,90,20,0.0
90,90,25,0.0
